Segment Info
Segment Name,172
Recording Name,记录002
Subject Name,被试002
Frequency(Hz),600
Start Time(s),432.4178278
End Time(s),434.9199247

Id,Time(s),LeftEyePositionValidity,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,RightEyePositionValidity,RightEyePositionX,RightEyePositionY,RightEyePositionZ,LeftGazePositionValidity,LeftGazePositionX,LeftGazePositionY,LeftGazePositionZ,LeftGazePointValidity,LeftGazePointX,LeftGazePointY,RightGazePositionValidity,RightGazePositionX,RightGazePositionY,RightGazePositionZ,RightGazePointValidity,RightGazePointX,RightGazePointY,LeftPupilValidity,LeftPupilDiameter,RightPupilValidity,RightPupilDiameter
409,433.098500033333,True,-49.9403228759766,-26.6694774627686,602.058837890625,True,9.59895133972168,-28.205997467041,604.518310546875,True,-167.338775634766,165.075592041016,37.2027893066406,True,0.196850031614304,0.45943820476532,True,-169.073638916016,162.83512878418,36.3873443603516,True,0.193707168102264,0.467117011547089,True,2.94422912597656,True,3.0257568359375
410,433.1001667,True,-49.9368133544922,-26.6786136627197,602.044189453125,True,9.59882259368896,-28.211498260498,604.541381835938,True,-168.17839050293,168.682098388672,38.5154685974121,True,0.195329040288925,0.447077751159668,True,-168.444580078125,165.400482177734,37.3210258483887,True,0.194846794009209,0.458324730396271,True,2.92906188964844,True,3.02029418945313
411,433.101833366667,True,-49.9347076416016,-26.6742248535156,602.039794921875,True,9.59751033782959,-28.214469909668,604.481689453125,True,-169.020965576172,166.458190917969,37.7060279846191,True,0.193802565336227,0.454699635505676,True,-169.493988037109,164.965026855469,37.1625671386719,True,0.192945688962936,0.459817171096802,True,2.93801879882813,True,3.01527404785156
412,433.103500033333,True,-49.9353218078613,-26.6798934936523,602.059265136719,True,9.59891700744629,-28.2143955230713,604.535095214844,True,-167.239639282227,164.134155273438,36.8601264953613,True,0.197029650211334,0.462664842605591,True,-169.928161621094,166.925689697266,37.8761596679688,True,0.192159116268158,0.453097522258759,True,2.939208984375,True,3.00616455078125
413,433.1051667,True,-49.9337768554688,-26.6767768859863,602.037231445313,True,9.60086059570313,-28.2214431762695,604.497436523438,True,-168.388061523438,167.112411499023,37.9441261291504,True,0.194949120283127,0.452457427978516,True,-169.73095703125,165.456970214844,37.3415756225586,True,0.192516386508942,0.45813113451004,True,2.93222045898438,True,3.02261352539063
414,433.106833366667,True,-49.9337158203125,-26.6801643371582,602.04931640625,True,9.60406494140625,-28.2241401672363,604.49365234375,True,-166.863967895508,166.582565307617,37.751293182373,True,0.19771021604538,0.454273402690887,True,-169.612609863281,165.134613037109,37.2242736816406,True,0.192730784416199,0.459235906600952,True,2.92300415039063,True,3.02018737792969
415,433.108500033333,True,-49.9323120117188,-26.6829032897949,602.053344726563,True,9.60325145721436,-28.2247447967529,604.494506835938,True,-167.151916503906,165.616912841797,37.3998336791992,True,0.197188526391983,0.457582950592041,True,-169.378997802734,166.16259765625,37.5984115600586,True,0.193154007196426,0.455712854862213,True,2.94319152832031,True,3.01290893554688
416,433.1101667,True,-49.9280776977539,-26.6846084594727,602.03662109375,True,9.60415363311768,-28.2287788391113,604.510437011719,True,-167.432830810547,166.003509521484,37.5405387878418,True,0.196679621934891,0.456258028745651,True,-170.300323486328,166.916702270508,37.8728713989258,True,0.191484928131104,0.453128218650818,True,2.93093872070313,True,3.00334167480469
417,433.111833366667,True,-49.9314422607422,-26.6823387145996,602.058227539063,True,9.60793113708496,-28.2289524078369,604.508056640625,True,-167.338897705078,165.787231445313,37.4617958068848,True,0.196849793195724,0.456999242305756,True,-169.474182128906,165.71240234375,37.4346160888672,True,0.192981541156769,0.457255631685257,True,2.94685363769531,True,3.02082824707031
418,433.113500033333,True,-49.9276885986328,-26.6849594116211,602.057189941406,True,9.60669612884521,-28.2314758300781,604.510620117188,True,-167.454772949219,164.22721862793,36.8940200805664,True,0.196639865636826,0.462345868349075,True,-169.315826416016,166.753601074219,37.8135566711426,True,0.193268448114395,0.453687191009521,True,2.9490966796875,True,3.01055908203125
